number,semester,name,instructors,schedule,level,id
Cell Biology 329,2018 Spring,b'The Ubiquitin-Proteasome Pathway',b'Daniel Finley',,Graduate,119495
Cell Biology 329,2017 Fall,b'The Ubiquitin-Proteasome Pathway',b'Daniel Finley',,Graduate,119495
Cell Biology 330L,2018 Spring,b'Lipid and Membrane Homeostasis',b'Tobias Walther',,Graduate,203804
Cell Biology 330L,2017 Fall,b'Lipid and Membrane Homeostasis',b'Tobias Walther',,Graduate,203804
Cell Biology 332,2018 Spring,,b'Steven Gygi',,Graduate,115968
Cell Biology 332,2017 Fall,b'Mass Spectrometry and Proteomics',b'Steven Gygi',,Graduate,115968
Cell Biology 333,2018 Spring,b'Electron Microscopic Structure Determination',b'Thomas Walz',,Graduate,114751
Cell Biology 333,2017 Fall,b'Electron Microscopic Structure Determination',b'Thomas Walz',,Graduate,114751
Cell Biology 334L,2018 Spring,b'Adipocyte development and energy metabolism',b'Yu-Hua Tseng',,Graduate,203841
Cell Biology 334L,2017 Fall,b'Adipocyte development and energy metabolism',b'Yu-Hua Tseng',,Graduate,203841
Cell Biology 336,2018 Spring,b'Signal Transduction in Normal and Transformed Cells',b'Joan Brugge',,Graduate,119551
Cell Biology 336,2017 Fall,b'Signal Transduction in Normal and Transformed Cells',b'Joan Brugge',,Graduate,119551
Cell Biology 339,2018 Spring,,b'Marc Kirschner',,Graduate,
Cell Biology 339,2017 Fall,b'Cell Morphogenesis and Regulation',b'Marc Kirschner',,Graduate,113489
Cell Biology 343,2018 Spring,,b'Bruce Spiegelman',,Graduate,111198
Cell Biology 343,2017 Fall,b'Mechanisms of Mammalian Cell Differentiation and Gene Expression',b'Bruce Spiegelman',,Graduate,111198
Cell Biology 344,2018 Spring,b'Molecular Mechanism of Signal Transduction',b'Xi He',,Graduate,117770
Cell Biology 344,2017 Fall,b'Molecular Mechanism of Signal Transduction',b'Xi He',,Graduate,117770
Cell Biology 345,2018 Spring,b'Protein Transport Across the Endoplasmic Reticulum Membrane',b'Tom Rapoport',,Graduate,119350
Cell Biology 345,2017 Fall,b'Protein Transport Across the Endoplasmic Reticulum Membrane',b'Tom Rapoport',,Graduate,119350
Cell Biology 348,2018 Spring,b'Transcriptional Regulation and Epigenetics in Breast and Prostate Cancer',b'Myles Brown',,Graduate,110253
Cell Biology 348,2017 Fall,b'Transcriptional Regulation and Epigenetics in Breast and Prostate Cancer',b'Myles Brown',,Graduate,110253
Cell Biology 349,2018 Spring,b'Gene Silencing and Chromosome Structure',b'Danesh Moazed',,Graduate,124315
Cell Biology 349,2017 Fall,b'Gene Silencing and Chromosome Structure',b'Danesh Moazed',,Graduate,124315
Cell Biology 353L,2018 Spring,,b'John Hanna',,Graduate,203806
Cell Biology 353L,2017 Fall,b'Regulated protein degradation',b'John Hanna',,Graduate,203806
Cell Biology 354,2018 Spring,b'Basic and Applied Mechanisms of Intracellular Transport',b'Victor Hsu',,Graduate,112504
Cell Biology 354,2017 Fall,,b'Victor Hsu',,Graduate,112504
Cell Biology 358,2018 Spring,b'Mechanisms of Tumor Metastasis',b'Bruce Zetter',,Graduate,143098
Cell Biology 358,2017 Fall,b'Mechanisms of Tumor Metastasis',b'Bruce Zetter',,Graduate,143098
Cell Biology 359,2018 Spring,b'Intracellular Signaling Pathways in the Regulation of Cell Growth and Differentiation',b'David Frank',,Graduate,110416
Cell Biology 359,2017 Fall,b'Intracellular Signaling Pathways in the Regulation of Cell Growth and Differentiation',b'David Frank',,Graduate,110416
Cell Biology 360,2018 Spring,b'Genetic Control of Apoptosis in Drosophila',b'Kristin White',,Graduate,115969
Cell Biology 360,2017 Fall,b'Genetic Control of Apoptosis in Drosophila',b'Kristin White',,Graduate,115969
Cell Biology 365,2018 Spring,,b'Wade Harper',,Graduate,128171
Cell Biology 365,2017 Fall,b'Mechanism and Biology of Ubiquitin-like Protein Conjugation Cascades',b'Wade Harper',,Graduate,128171
Cell Biology 366,2018 Spring,b'Mitochondria in Aging and Metabolism',b'Marcia Haigis',,Graduate,128172
Cell Biology 366,2017 Fall,,b'Marcia Haigis',,Graduate,128172
Cell Biology 369L,2018 Spring,b'Protein structure by high-resolution electron microscopy',b'Maofu Liao',,Graduate,203788
Cell Biology 369L,2017 Fall,b'Protein structure by high-resolution electron microscopy',b'Maofu Liao',,Graduate,203788
Cell Biology 370,2018 Spring,"b'Mitotic Kinases, Chromatin and Chromosome Segregation'",b'Jonathan Higgins',,Graduate,122739
Cell Biology 370,2017 Fall,"b'Mitotic Kinases, Chromatin and Chromosome Segregation'",b'Jonathan Higgins',,Graduate,122739
Cell Biology 371,2018 Spring,,b'Pere Burguera',,Graduate,
Cell Biology 371,2017 Fall,b'Nutrient Sensing and Metabolic Control',b'Pere Burguera',,Graduate,122998
Cell Biology 372,2018 Spring,,b'Timothy Mitchison',,Graduate,115000
Cell Biology 372,2017 Fall,b'Cytoskeletal Dynamics',b'Timothy Mitchison',,Graduate,115000
Cell Biology 373,2018 Spring,b'Molecular Genetics of Cell Interaction in Development',b'Spyros Artavanis-Tsakonas',,Graduate,112515
Cell Biology 373,2017 Fall,b'Molecular Genetics of Cell Interaction in Development',b'Spyros Artavanis-Tsakonas',,Graduate,112515
Cell Biology 373L,2018 Spring,b'Regulation of protein biosynthesis and quality control',b'Sichen Shao',,Graduate,204037
Cell Biology 373L,2017 Fall,b'Regulation of protein biosynthesis and quality control',b'Sichen Shao',,Graduate,204037
Cell Biology 375,2018 Spring,b'Cancer Genetics and DNA',b'David Weinstock',,Graduate,127583
Cell Biology 375,2017 Fall,b'Cancer Genetics and DNA',b'David Weinstock',,Graduate,127583
Cell Biology 376,2018 Spring,,b'Randall King',,Graduate,
Cell Biology 376,2017 Fall,b'Chemical Approaches to Cell Division and Cancer',b'Randall King',,Graduate,115970
Cell Biology 376L,2018 Spring,,b'Senthil Muthuswamy',,Graduate,204028
Cell Biology 376L,2017 Fall,"b'Cell polarity, organoids, cancer biology and therapeutics'",b'Senthil Muthuswamy',,Graduate,204028
Cell Biology 377,2018 Spring,"b'Islet cell signaling mechanisms, Stem cells, iPS Cells in diabetes'",b'Rohit Kulkarni',,Graduate,120176
Cell Biology 377,2017 Fall,"b'Islet cell signaling mechanisms, Stem cells, iPS Cells in diabetes'",b'Rohit Kulkarni',,Graduate,120176
Cell Biology 378,2018 Spring,b'Bacterial Toxin Entry and Immunoglobulin Transport in Mucosal Epithelial Cells',b'Wayne Lencer',,Graduate,120177
Cell Biology 378,2017 Fall,b'Bacterial Toxin Entry and Immunoglobulin Transport in Mucosal Epithelial Cells',b'Wayne Lencer',,Graduate,120177
Cell Biology 379,2018 Spring,b'BMP Signaling in Organogenesis',b'Vicki Rosen',,Graduate,120178
Cell Biology 379,2017 Fall,b'BMP Signaling in Organogenesis',b'Vicki Rosen',,Graduate,120178
Cell Biology 380,2018 Spring,b'Cytoskeletal Mechanics of Blood Platelet Production',b'Joseph Italiano',,Graduate,121645
Cell Biology 380,2017 Fall,b'Cytoskeletal Mechanics of Blood Platelet Production',b'Joseph Italiano',,Graduate,121645
Cell Biology 383,2018 Spring,,b'Stephen Liberles',,Graduate,125265
Cell Biology 383,2017 Fall,b'Internal and External Sensory Systems',b'Stephen Liberles',,Graduate,125265
Cell Biology 385,2018 Spring,b'Epigenetic Mechanisms and Genomic Integrity',b'Mohammad Motamedi',,Graduate,109085
Cell Biology 385,2017 Fall,,b'Mohammad Motamedi',,Graduate,109085
Cell Biology 386,2018 Spring,b'Systemic metabolism and cancer',b'Nada Kalaany',,Graduate,109086
Cell Biology 386,2017 Fall,b'Systemic metabolism and cancer',b'Nada Kalaany',,Graduate,109086
Cell Biology 387,2018 Spring,b'Calcium signaling in health and disease',b'Anna Greka',,Graduate,109087
Cell Biology 387,2017 Fall,b'Calcium signaling in health and disease',b'Anna Greka',,Graduate,109087
Cell Biology 390,2018 Spring,b'Membrane: Cytoskeleton Interface in Morphogenesis and Tumorigenesis/Metastasis',b'Andrea McClatchey',,Graduate,107868
Cell Biology 390,2017 Fall,b'Membrane: Cytoskeleton Interface in Morphogenesis and Tumorigenesis/Metastasis',b'Andrea McClatchey',,Graduate,107868
Cell Biology 399,2018 Spring,,b'David Cardozo',,Graduate,121654
Cell Biology 399,2017 Fall,b'Nanocourses',b'David Cardozo',,Graduate,121654
Microbiology 201,2018 Spring,b'Molecular Biology of the Bacterial Cell',b'David Rudner & Thomas Bernhardt & Simon Dove & Ann Hochschild',TR 1000 AM - 1159 AM,Undergraduate + Graduate,126271
Microbiology 205,2017 Fall,b'Mechanisms of Microbial Pathogenesis',b'Clyde Crumpacker & Harvey Simon',TR 0830 AM - 1229 PM,Undergraduate + Graduate,146757
Microbiology 210,2018 Spring,,b'Michael Gilmore',F 0845 AM - 1145 AM,Undergraduate + Graduate,
Microbiology 213,2018 Spring,b'Social Issues in Biology',b'Jonathan Beckwith & Louis Guenin',R 0100 PM - 0359 PM,Undergraduate + Graduate,122708
Microbiology 214,2017 Fall,b'Mechanisms of Bacterial Pathogenesis and Host Immune Response',b'Marcia Goldberg & Jonathan Kagan & Michael Starnbach & Darren Higgins',TR 1000 AM - 1159 AM,Undergraduate + Graduate,156454
Microbiology 300,2018 Spring,b'Advanced Topics in Microbiology and Molecular Genetics',b'David Cardozo',,Graduate,111409
Microbiology 300,2017 Fall,b'Advanced Topics in Microbiology and Molecular Genetics',b'David Cardozo',,Graduate,111409
Microbiology 300QC,2018 Spring,b'Advanced Topics in Microbiology and Molecular Genetics',b'David Cardozo',,Graduate,127508
Microbiology 300QC,2017 Fall,b'Advanced Topics in Microbiology and Molecular Genetics',b'David Cardozo',,Graduate,127508
Microbiology 302QC,2018 Spring,,b'Eric J. Rubin & Bradley Coleman',MTWRF 0900 AM - 0459 PM,Graduate,
Microbiology 305,2018 Spring,b'Molecular Determinants of Intracellular Bacterial Pathogenesis',b'Darren Higgins',,Graduate,112844
Microbiology 305,2017 Fall,b'Molecular Determinants of Intracellular Bacterial Pathogenesis',b'Darren Higgins',,Graduate,112844
Microbiology 308,2018 Spring,b'Bacterial/ Host Interactions in Symbiosis and Pathogenesis',b'Dennis Kasper',,Graduate,112851
Microbiology 308,2017 Fall,b'Bacterial/ Host Interactions in Symbiosis and Pathogenesis',b'Dennis Kasper',,Graduate,112851
Microbiology 310,2018 Spring,b'Bacterial Genetics of Tuberculosis and Tularemia',b'Eric J. Rubin',,Graduate,120183
Microbiology 310,2017 Fall,b'Bacterial Genetics of Tuberculosis and Tularemia',b'Eric J. Rubin',,Graduate,120183
Microbiology 312,2018 Spring,,b'Richard Malley',,Graduate,126377
Microbiology 312,2017 Fall,b'Acquired and Innate Immunity to Pneumococci',b'Richard Malley',,Graduate,126377
Microbiology 313,2018 Spring,b'T-Lymphocyte Responses to Bacterial Pathogens',b'Michael Starnbach',,Graduate,114635
Microbiology 313,2017 Fall,b'T-Lymphocyte Responses to Bacterial Pathogens',b'Michael Starnbach',,Graduate,114635
Microbiology 315,2018 Spring,b'Signaling Networks That Regulate Synapse Development',b'Michael Greenberg',,Graduate,110091
Microbiology 315,2017 Fall,b'Signaling Networks That Regulate Synapse Development',b'Michael Greenberg',,Graduate,110091
Microbiology 316,2018 Spring,b'Host Pathogen Interactions',b'Stephen Lory',,Graduate,117274
Microbiology 316,2017 Fall,b'Host Pathogen Interactions',b'Stephen Lory',,Graduate,117274
Microbiology 317,2018 Spring,b'Molecular Mechanisms in Pathogenesis',b'John Mekalanos',,Graduate,124931
Microbiology 317,2017 Fall,b'Molecular Mechanisms in Pathogenesis',b'John Mekalanos',,Graduate,124931
Microbiology 318,2018 Spring,,b'Lee Gehrke',,Graduate,110558
Microbiology 318,2017 Fall,"b'RNA Structure, RNA-protein Interactions, and Translation-level Gene Regulation in RNA Viruses'",b'Lee Gehrke',,Graduate,110558
Microbiology 319,2018 Spring,b'Molecular pathogenesis of human malaria infection',b'Jeffrey Dvorin',,Graduate,160765
Microbiology 319,2017 Fall,,b'Jeffrey Dvorin',,Graduate,160765
Microbiology 320,2018 Spring,b'Epigenetic Regulation of DNA Virus Infection',b'David Knipe',,Graduate,113543
Microbiology 320,2017 Fall,b'Epigenetic Regulation of DNA Virus Infection',b'David Knipe',,Graduate,113543
Microbiology 324,2018 Spring,b'Bacterial Pathogenesis and Vaccine Development',b'Gerald Pier',,Graduate,112811
Microbiology 324,2017 Fall,b'Bacterial Pathogenesis and Vaccine Development',b'Gerald Pier',,Graduate,112811
Microbiology 326,2018 Spring,b'Biology and virulence of enteric pathogens',b'Matthew Waldor',,Graduate,124203
Microbiology 326,2017 Fall,b'Biology and virulence of enteric pathogens',b'Matthew Waldor',,Graduate,124203
Microbiology 328,2018 Spring,,b'Elliott Kieff',,Graduate,131596
Microbiology 328,2017 Fall,b'Molecular Biology of Epstein Barr Virus Infection and Transformation of B Lymphocytes',b'Elliott Kieff',,Graduate,131596
Microbiology 329,2018 Spring,b'The Regulation of Gene Expression in Pathogenic Bacteria',b'Simon Dove',,Graduate,120013
Microbiology 329,2017 Fall,,b'Simon Dove',,Graduate,120013
Microbiology 330,2018 Spring,b'Bacterial Chromosome Dynamics and Cell Biology',b'David Rudner',,Graduate,119613
Microbiology 330,2017 Fall,b'Bacterial Chromosome Dynamics and Cell Biology',b'David Rudner',,Graduate,119613
Microbiology 331,2018 Spring,b'Modeling Mechanisms of Bacterial Pathogenesis',b'Cammie Lesser',,Graduate,120014
Microbiology 331,2017 Fall,b'Modeling Mechanisms of Bacterial Pathogenesis',b'Cammie Lesser',,Graduate,120014
Microbiology 332,2018 Spring,b'Gene Regulation of Prokaryotes',b'Ann Hochschild',,Graduate,125575
Microbiology 332,2017 Fall,b'Gene Regulation of Prokaryotes',b'Ann Hochschild',,Graduate,125575
Microbiology 335,2018 Spring,,b'Dyann Wirth',,Graduate,115472
Microbiology 335,2017 Fall,b'Molecular Biology of Parasites',b'Dyann Wirth',,Graduate,115472
Microbiology 336,2018 Spring,b'Pathogen-Host Interactions',b'Marcia Goldberg',,Graduate,114338
Microbiology 336,2017 Fall,,b'Marcia Goldberg',,Graduate,114338
Microbiology 338,2018 Spring,b'Engineering immunity to dissect host-pathogen interactions',b'Alejandro Balazs',,Graduate,160769
Microbiology 338,2017 Fall,b'Engineering immunity to dissect host-pathogen interactions',b'Alejandro Balazs',,Graduate,160769
Microbiology 339,2018 Spring,b'Bacterial Cell Division and Cell Biology',b'Thomas Bernhardt',,Graduate,123169
Microbiology 339,2017 Fall,b'Bacterial Cell Division and Cell Biology',b'Thomas Bernhardt',,Graduate,123169
Microbiology 341,2018 Spring,,b'Michael Gilmore',,Graduate,
Microbiology 341,2017 Fall,b'Molecular Biology Multi-drug Resistant Pathogens',b'Michael Gilmore',,Graduate,127378
Microbiology 343,2018 Spring,,b'Suzanne Walker',,Graduate,120184
Microbiology 343,2017 Fall,"b'Chemical Biology, Enzymology, Antibiotics, Glycosyltransferases, Inhibitors'",b'Suzanne Walker',,Graduate,120184
Microbiology 344,2018 Spring,b'Chemistry and Biology of Host-Virus Interactions',b'Priscilla Yang',,Graduate,120185
Microbiology 344,2017 Fall,b'Chemistry and Biology of Host-Virus Interactions',b'Priscilla Yang',,Graduate,120185
Microbiology 346,2018 Spring,b'Pathogenic Mechanisms and Treatment of Diarrheal Disease',b'Paula Watnick',,Graduate,122747
Microbiology 346,2017 Fall,b'Pathogenic Mechanisms and Treatment of Diarrheal Disease',b'Paula Watnick',,Graduate,122747
Microbiology 347,2018 Spring,b'Chemical Genetics Approach to Bacterial Pathogenesis',b'Deborah Hung',,Graduate,122999
Microbiology 347,2017 Fall,b'Chemical Genetics Approach to Bacterial Pathogenesis',b'Deborah Hung',,Graduate,122999
Microbiology 348,2018 Spring,b'Toll-like Receptors and Innate Immunity',b'Jonathan Kagan',,Graduate,125399
Microbiology 348,2017 Fall,b'Toll-like Receptors and Innate Immunity',b'Jonathan Kagan',,Graduate,125399
Microbiology 349,2018 Spring,,b'Ulrich von Andrian',,Graduate,128185
Microbiology 349,2017 Fall,b'Molecular Mechanisms of Leukocyte Trafficking',b'Ulrich von Andrian',,Graduate,128185
Microbiology 350,2018 Spring,b'Regulation of T-cell Mediated Immune Response',b'Arlene Sharpe',,Graduate,128186
Microbiology 350,2017 Fall,,b'Arlene Sharpe',,Graduate,128186
Microbiology 351,2018 Spring,b'Viral Pathogenic and Transformation Mechanisms',b'Peter Howley',,Graduate,128190
Microbiology 351,2017 Fall,b'Viral Pathogenic and Transformation Mechanisms',b'Peter Howley',,Graduate,128190
Microbiology 352,2018 Spring,b'The Biology of microRNAs and their Dysregulation in Cancers',b'Carl Novina',,Graduate,128191
Microbiology 352,2017 Fall,b'The Biology of microRNAs and their Dysregulation in Cancers',b'Carl Novina',,Graduate,128191
Microbiology 353,2018 Spring,b'Development and delivery of cancer immunotherapies',b'Michael Goldberg',,Graduate,109092
Microbiology 353,2017 Fall,b'Development and delivery of cancer immunotherapies',b'Michael Goldberg',,Graduate,109092
Microbiology 354,2018 Spring,,b'Jonathan Abraham',,Graduate,205896
Microbiology 354,2017 Fall,b'Molecular mechanisms of antiviral immunity',b'Jonathan Abraham',,Graduate,205896
Microbiology 355,2018 Spring,b'Gut Microbiome and the Immune system',b'Aleksandar Kostic',,Graduate,205897
Microbiology 355,2017 Fall,b'Gut Microbiome and the Immune system',b'Aleksandar Kostic',,Graduate,205897
Microbiology 374,2018 Spring,b'Enzyme biochemistry and innate immune signaling',b'Philip Kranzusch',,Graduate,204039
Microbiology 374,2017 Fall,b'Enzyme biochemistry and innate immune signaling',b'Philip Kranzusch',,Graduate,204039
Genetics 201,2017 Fall,b'Principles of Genetics',b'Fred Winston & Maxwell Heiman & Thomas Bernhardt & Mitzi Kuroda & Steven McCarroll & Jenna Galloway',MWF 0900 AM - 1020 AM,Undergraduate + Graduate,113752
Genetics 216,2018 Spring,b'Advanced Topics in Gene Expression',b'Fred Winston & Robert Kingston & Stephen Buratowski',T 0200 PM - 0459 PM,Undergraduate + Graduate,111358
Genetics 228,2018 Spring,b'Genetics in Medicine - From Bench to Bedside',b'Christopher Newton-Cheh & David Sweetser',F 0200 PM - 0459 PM,Undergraduate + Graduate,121745
Genetics 229,2017 Fall,b'Computational Statistics for Biomedical Sciences',b'Peter Park',TR 1000 AM - 1129 AM,Undergraduate + Graduate,127525
Genetics 300,2018 Spring,b'Advanced Topics in Genetics',b'David Cardozo',,Graduate,108152
Genetics 300,2017 Fall,b'Advanced Topics in Genetics',b'David Cardozo',,Graduate,108152
Genetics 300QC,2018 Spring,b'Advanced Topics in Genetics',b'David Cardozo',,Graduate,127505
Genetics 300QC,2017 Fall,b'Advanced Topics in Genetics',b'David Cardozo',,Graduate,127505
Genetics 302QC,2018 Spring,,b'Christopher Burtner & Bradley Coleman',R 0200 PM - 0359 PM,Graduate,
Genetics 303,2018 Spring,b'Molecular Biology of Pathogenesis',b'Frederick Ausubel',,Graduate,111152
Genetics 303,2017 Fall,b'Molecular Biology of Pathogenesis',b'Frederick Ausubel',,Graduate,111152
Genetics 303L,2018 Spring,b'Craniofacial Developmental Biology',b'Eric Liao',,Graduate,156720
Genetics 303L,2017 Fall,b'Craniofacial Developmental Biology',b'Eric Liao',,Graduate,156720
Genetics 303QC,2018 Spring,b'Current Tools for Gene Analysis',b'Neena Haider',R 1000 AM - 1159 AM,Graduate,156915
Genetics 304,2018 Spring,"b'Molecular Genetics Basis of Human Disease, Particularly Cardiovascular Pathogenesis'",b'Christine Seidman',,Graduate,112845
Genetics 304,2017 Fall,"b'Molecular Genetics Basis of Human Disease, Particularly Cardiovascular Pathogenesis'",b'Christine Seidman',,Graduate,112845
Genetics 305,2018 Spring,"b'Centrosomes, Cilia, Cysts and Diseases'",b'Jing Zhou',,Graduate,114752
Genetics 305,2017 Fall,"b'Centrosomes, Cilia, Cysts and Diseases'",b'Jing Zhou',,Graduate,114752
Genetics 306,2018 Spring,b'Inherited Human Disorders',b'Jonathan Seidman',,Graduate,121121
Genetics 306,2017 Fall,b'Inherited Human Disorders',b'Jonathan Seidman',,Graduate,121121
Genetics 307,2018 Spring,b'Regeneration in Axolotls',b'Jessica Whited',,Graduate,160766
Genetics 307,2017 Fall,,b'Jessica Whited',,Graduate,160766
Genetics 308,2018 Spring,b'Molecular Biology of Signal Transduction',b'Brian Seed',,Graduate,116507
Genetics 308,2017 Fall,b'Molecular Biology of Signal Transduction',b'Brian Seed',,Graduate,116507
Genetics 309,2018 Spring,,b'Fred Winston',,Graduate,113402
Genetics 309,2017 Fall,b'Gene Expression in Yeast',b'Fred Winston',,Graduate,113402
Genetics 310,2018 Spring,b'Molecular Genetics of Neural Development and Gene Therapy to Prevent Blindness',b'Connie Cepko',,Graduate,118193
Genetics 310,2017 Fall,b'Molecular Genetics of Neural Development and Gene Therapy to Prevent Blindness',b'Connie Cepko',,Graduate,118193
Genetics 311,2018 Spring,b'Molecular Mechanisms of Transcription Regulation in Mammals',b'Robert Kingston',,Graduate,121057
Genetics 311,2017 Fall,b'Molecular Mechanisms of Transcription Regulation in Mammals',b'Robert Kingston',,Graduate,121057
Genetics 312,2018 Spring,b'Genetic analysis of small RNA pathways and surveillance of core cellular systems',b'Gary Ruvkun',,Graduate,123512
Genetics 312,2017 Fall,,b'Gary Ruvkun',,Graduate,123512
Genetics 313,2018 Spring,b'Genomic Approaches to Human Disease Genetics',b'David Altshuler',,Graduate,117268
Genetics 313,2017 Fall,b'Genomic Approaches to Human Disease Genetics',b'David Altshuler',,Graduate,117268
Genetics 314,2018 Spring,,b'Jack Szostak',,Graduate,120754
Genetics 314,2017 Fall,b'The Origin of Cellular Life',b'Jack Szostak',,Graduate,120754
Genetics 315,2018 Spring,b'Molecular Genetics of Inherited Disorders',b'James Gusella',,Graduate,112919
Genetics 315,2017 Fall,b'Molecular Genetics of Inherited Disorders',b'James Gusella',,Graduate,112919
Genetics 316,2018 Spring,b'Transcription Factors and DNA Regulatory Elements',b'Martha Bulyk',,Graduate,117269
Genetics 316,2017 Fall,b'Transcription Factors and DNA Regulatory Elements',b'Martha Bulyk',,Graduate,117269
Genetics 317,2018 Spring,b'Signaling Networks in Development and Disease',b'Jordan Kreidberg',,Graduate,111381
Genetics 317,2017 Fall,,b'Jordan Kreidberg',,Graduate,111381
Genetics 318,2018 Spring,b'Genome Structure',b'George Church',,Graduate,114865
Genetics 318,2017 Fall,b'Genome Structure',b'George Church',,Graduate,114865
Genetics 320,2018 Spring,,b'Mark Daly',,Graduate,126368
Genetics 320,2017 Fall,b'Genetics of Common Human Disease',b'Mark Daly',,Graduate,126368
Genetics 321,2018 Spring,b'Genetic Analysis of Growth and Homeostasis',b'Norbert Perrimon',,Graduate,118751
Genetics 321,2017 Fall,b'Genetic Analysis of Growth and Homeostasis',b'Norbert Perrimon',,Graduate,118751
Genetics 322,2018 Spring,b'Vertebrate Pattern Formation',b'Clifford Tabin',,Graduate,113859
Genetics 322,2017 Fall,b'Vertebrate Pattern Formation',b'Clifford Tabin',,Graduate,113859
Genetics 323,2018 Spring,b'Molecular Biology of V(D)J Recombination',b'Marjorie Oettinger',,Graduate,143860
Genetics 323,2017 Fall,,b'Marjorie Oettinger',,Graduate,143860
Genetics 325,2018 Spring,"b'Human Genetics, Genomics and Complex Traits'",b'Joel Hirschhorn',,Graduate,117273
Genetics 325,2017 Fall,"b'Human Genetics, Genomics and Complex Traits'",b'Joel Hirschhorn',,Graduate,117273
Genetics 326,2018 Spring,,b'David Kwiatkowski',,Graduate,114753
Genetics 326,2017 Fall,b'Human Molecular and Cancer Genetics',b'David Kwiatkowski',,Graduate,114753
Genetics 327,2018 Spring,b'Systems Biology of Mammalian Cell Fate Decisions',b'Suzanne Gaudet',,Graduate,126370
Genetics 327,2017 Fall,b'Systems Biology of Mammalian Cell Fate Decisions',b'Suzanne Gaudet',,Graduate,126370
Genetics 328,2018 Spring,"b'Lymphocyte Differentiation, Recombination, DNA Repair, Cancer'",b'Frederick Alt',,Graduate,111897
Genetics 328,2017 Fall,"b'Lymphocyte Differentiation, Recombination, DNA Repair, Cancer'",b'Frederick Alt',,Graduate,111897
Genetics 329,2018 Spring,b'Genetic Analysis of Synaptic Transmission',b'Joshua Kaplan',,Graduate,117637
Genetics 329,2017 Fall,,b'Joshua Kaplan',,Graduate,117637
Genetics 331,2018 Spring,b'Developmental Oncobiology and Cancer Stem Cells',b'Zhe Li',,Graduate,126371
Genetics 331,2017 Fall,b'Developmental Oncobiology and Cancer Stem Cells',b'Zhe Li',,Graduate,126371
Genetics 332,2018 Spring,,b'Karen Cichowski',,Graduate,115971
Genetics 332,2017 Fall,b'Combining genetic and biochemical approaches to elucidate mechanisms underlying cancer',b'Karen Cichowski',,Graduate,115971
Genetics 333,2018 Spring,b'Computational biology of transcriptional and epigenetic regulation',b'Xiaole (Shirley) Liu',,Graduate,109352
Genetics 333,2017 Fall,b'Computational biology of transcriptional and epigenetic regulation',b'Xiaole (Shirley) Liu',,Graduate,109352
Genetics 334,2018 Spring,b'Genomics and the Genetics of Human Disease',b'Raju Kucherlapati',,Graduate,117271
Genetics 334,2017 Fall,b'Genomics and the Genetics of Human Disease',b'Raju Kucherlapati',,Graduate,117271
Genetics 335,2018 Spring,"b'Genetics, epigenetics, gene regulation, evolution, disease'",b'Chao-ting Wu',,Graduate,114764
Genetics 335,2017 Fall,,b'Chao-ting Wu',,Graduate,114764
Genetics 336,2018 Spring,b'Developmental Biology of Hematopoiesis',b'Leonard Zon',,Graduate,120540
Genetics 336,2017 Fall,b'Developmental Biology of Hematopoiesis',b'Leonard Zon',,Graduate,120540
Genetics 337,2018 Spring,,b'Stuart Orkin',,Graduate,120637
Genetics 337,2017 Fall,b'Human Molecular Genetics',b'Stuart Orkin',,Graduate,120637
Genetics 338,2018 Spring,b'Epigenetic inheritance and small regulatory RNAs',b'Scott Kennedy',,Graduate,159949
Genetics 338,2017 Fall,b'Epigenetic inheritance and small regulatory RNAs',b'Scott Kennedy',,Graduate,159949
Genetics 339,2018 Spring,b'Mechanisms of Heritable Epigenetics',b'Eric Greer',,Graduate,160777
Genetics 339,2017 Fall,,b'Eric Greer',,Graduate,
Genetics 340L,2018 Spring,b'Mechanisms of microtubule organization',b'Radhika Subramanian',,Graduate,203801
Genetics 340L,2017 Fall,,b'Radhika Subramanian',,Graduate,203801
Genetics 341,2018 Spring,b'Development and Homeostasis of the Skeleton',b'Matthew Warman',,Graduate,124135
Genetics 341,2017 Fall,b'Development and Homeostasis of the Skeleton',b'Matthew Warman',,Graduate,124135
Genetics 342,2018 Spring,b'Genetic Analysis of Zebrafish Kidney Organogenesis',b'Iain Drummond',,Graduate,124201
Genetics 342,2017 Fall,b'Genetic Analysis of Zebrafish Kidney Organogenesis',b'Iain Drummond',,Graduate,124201
Genetics 343,2018 Spring,b'Zebrafish Cardiovascular Development and Regeneration',b'Charles Burns',,Graduate,110244
Genetics 343,2017 Fall,b'Zebrafish Cardiovascular Development and Regeneration',b'Charles Burns',,Graduate,110244
Genetics 344,2018 Spring,b'Computational Genomics',b'Peter Park',,Graduate,124202
Genetics 344,2017 Fall,b'Computational Genomics',b'Peter Park',,Graduate,124202
Genetics 345,2018 Spring,b'Computational Biology of Cancer',b'Franziska Michor',,Graduate,160951
Genetics 345,2017 Fall,,b'Franziska Michor',,Graduate,160951
Genetics 347,2018 Spring,b'Ras signaling and colon cancer',b'Kevin Haigis',,Graduate,107886
Genetics 347,2017 Fall,b'Ras signaling and colon cancer',b'Kevin Haigis',,Graduate,107886
Genetics 348,2018 Spring,,b'Jenna Galloway',,Graduate,156719
Genetics 348,2017 Fall,b'The Regenerative Biology of Tendons and Ligaments',b'Jenna Galloway',,Graduate,156719
Genetics 350,2018 Spring,b'Genetic Regulation of Organogenesis and Organ Regeneration',b'Richard Maas',,Graduate,114732
