number,semester,name,instructors,schedule,level,id
African & African Amer Studies 390 Section: 015,2017 Fall,b'Individual Research',b'Henry Gates',,Graduate,115732
African & African Amer Studies 390,2018 Spring,b'Individual Research',b'Claudine Gay',,Graduate,115732
African & African Amer Studies 390 Section: 016,2017 Fall,b'Individual Research',b'Claudine Gay',,Graduate,115732
African & African Amer Studies 390 Section: 017,2018 Spring,b'Individual Research',b'Evelynn Hammonds',,Graduate,115732
African & African Amer Studies 390,2017 Fall,b'Individual Research',b'Evelynn Hammonds',,Graduate,115732
African & African Amer Studies 390 Section: 018,2018 Spring,b'Individual Research',b'Evelyn Brooks Higginbotham',,Graduate,115732
African & African Amer Studies 390 Section: 018,2017 Fall,b'Individual Research',b'Evelyn Brooks Higginbotham',,Graduate,115732
African & African Amer Studies 390,2018 Spring,b'Individual Research',b'Elizabeth Hinton',,Graduate,115732
African & African Amer Studies 390 Section: 019,2017 Fall,b'Individual Research',b'Elizabeth Hinton',,Graduate,115732
African & African Amer Studies 390 Section: 020,2018 Spring,b'Individual Research',b'Jennifer Hochschild',,Graduate,115732
African & African Amer Studies 390,2017 Fall,b'Individual Research',b'Jennifer Hochschild',,Graduate,115732
African & African Amer Studies 390 Section: 021,2018 Spring,b'Individual Research',b'Biodun Jeyifo',,Graduate,115732
African & African Amer Studies 390 Section: 021,2017 Fall,b'Individual Research',b'Biodun Jeyifo',,Graduate,115732
African & African Amer Studies 390,2018 Spring,b'Individual Research',b'Walter Johnson',,Graduate,115732
African & African Amer Studies 390 Section: 022,2017 Fall,b'Individual Research',b'Walter Johnson',,Graduate,115732
African & African Amer Studies 390 Section: 023,2018 Spring,b'Individual Research',b'Jamaica Kincaid',,Graduate,115732
African & African Amer Studies 390,2017 Fall,b'Individual Research',b'Jamaica Kincaid',,Graduate,115732
African & African Amer Studies 390 Section: 024,2018 Spring,b'Individual Research',b'Michele Lamont',,Graduate,115732
African & African Amer Studies 390 Section: 024,2017 Fall,b'Individual Research',b'Michele Lamont',,Graduate,115732
African & African Amer Studies 390,2018 Spring,b'Individual Research',b'George Paul Meiu',,Graduate,115732
African & African Amer Studies 390 Section: 025,2017 Fall,b'Individual Research',b'George Paul Meiu',,Graduate,115732
African & African Amer Studies 390 Section: 026,2018 Spring,b'Individual Research',b'Ingrid Monson',,Graduate,115732
African & African Amer Studies 390,2017 Fall,b'Individual Research',b'Ingrid Monson',,Graduate,115732
African & African Amer Studies 390 Section: 027,2018 Spring,b'Individual Research',b'Marcyliena Morgan',,Graduate,115732
African & African Amer Studies 390 Section: 027,2017 Fall,b'Individual Research',b'Marcyliena Morgan',,Graduate,115732
African & African Amer Studies 390,2018 Spring,b'Individual Research',b'John Mugane',,Graduate,115732
African & African Amer Studies 390 Section: 028,2017 Fall,b'Individual Research',b'John Mugane',,Graduate,115732
African & African Amer Studies 390 Section: 029,2018 Spring,b'Individual Research',b'Jacob Olupona',,Graduate,115732
African & African Amer Studies 390,2017 Fall,b'Individual Research',b'Jacob Olupona',,Graduate,115732
African & African Amer Studies 390 Section: 030,2018 Spring,b'Individual Research',b'Laurence Ralph',,Graduate,115732
African & African Amer Studies 390 Section: 030,2017 Fall,b'Individual Research',b'Laurence Ralph',,Graduate,115732
African & African Amer Studies 390,2018 Spring,b'Individual Research',b'Tommie Shelby',,Graduate,115732
African & African Amer Studies 390 Section: 031,2017 Fall,b'Individual Research',b'Tommie Shelby',,Graduate,115732
African & African Amer Studies 390 Section: 032,2018 Spring,b'Individual Research',b'Kay Shelemay',,Graduate,115732
African & African Amer Studies 390,2017 Fall,b'Individual Research',b'Kay Shelemay',,Graduate,115732
African & African Amer Studies 390 Section: 033,2018 Spring,b'Individual Research',b'James Sidanius',,Graduate,115732
African & African Amer Studies 390 Section: 033,2017 Fall,b'Individual Research',b'James Sidanius',,Graduate,115732
African & African Amer Studies 390,2018 Spring,b'Individual Research',b'Werner Sollors',,Graduate,115732
African & African Amer Studies 390 Section: 034,2017 Fall,b'Individual Research',b'Werner Sollors',,Graduate,115732
African & African Amer Studies 390 Section: 035,2018 Spring,b'Individual Research',b'Doris Sommer',,Graduate,115732
African & African Amer Studies 390,2017 Fall,b'Individual Research',b'Doris Sommer',,Graduate,115732
African & African Amer Studies 390 Section: 036,2018 Spring,b'Individual Research',b'John Stauffer',,Graduate,115732
African & African Amer Studies 390 Section: 036,2017 Fall,b'Individual Research',b'John Stauffer',,Graduate,115732
African & African Amer Studies 390,2018 Spring,b'Individual Research',b'David Williams',,Graduate,115732
African & African Amer Studies 390 Section: 037,2017 Fall,b'Individual Research',b'David Williams',,Graduate,115732
African & African Amer Studies 390 Section: 038,2018 Spring,b'Individual Research',b'William Wilson',,Graduate,115732
African & African Amer Studies 390,2017 Fall,b'Individual Research',b'William Wilson',,Graduate,115732
African & African Amer Studies 390 Section: 039,2018 Spring,b'Individual Research',b'Brandon Terry',,Graduate,115732
